url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894741754/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A793%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 24m², 1 quarto e sem vaga",Condomínios em São Paulo,24,1.0,1,1.0,,8° a 11° andar,sim,sim,sim,R$ 4.000,R$ 400,R$ 0,R$ 51,R$ 103,R$ 4.554
https://www.quintoandar.com.br/imovel/894655885/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A767%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25,1.0,1,1.0,,16° a 19° andar,sim,sim,sim,R$ 2.990,R$ 400,R$ 67,R$ 38,R$ 77,R$ 3.572
https://www.quintoandar.com.br/imovel/894815437/alugar/kitnet-1-quarto-perdizes-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A347%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 27m², 1 quarto e 1 vaga",Condomínios em São Paulo,27,1.0,0,1.0,1.0,,sim,sim,sim,R$ 3.200,R$ 593,R$ 37,R$ 41,R$ 82,R$ 3.953
https://www.quintoandar.com.br/imovel/895078995/alugar/apartamento-2-quartos-sumarezinho-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A199%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 62m², 2 quartos e 1 vaga",Condomínios em São Paulo,62,2.0,1,2.0,1.0,16° a 19° andar,sim,não,sim,R$ 6.500,R$ 1.050,R$ 298,R$ 83,R$ 168,R$ 8.099
https://www.quintoandar.com.br/imovel/893928932/alugar/kitnet-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A272%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 24m², 1 quarto e sem vaga",Condomínios em São Paulo,24,1.0,1,1.0,,4° a 7° andar,sim,sim,sim,R$ 2.430,R$ 573,R$ 157,R$ 31,R$ 62,R$ 3.253
https://www.quintoandar.com.br/imovel/892907455/alugar/casa-4-quartos-alto-de-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A22%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 350m², 4 quartos e 4 vagas",Rua Cardeal Cagliori,350,4.0,3,6.0,4.0,,sim,não,não,R$ 14.000,R$ 0,R$ 2.250,R$ 232,R$ 362,R$ 16.844
https://www.quintoandar.com.br/imovel/894031916/alugar/casa-3-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A662%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 135m², 3 quartos e 2 vagas",Rua Antônio Vieira de Medeiros,135,3.0,0,3.0,2.0,,sim,sim,sim,R$ 5.440,Incluso,R$ 0,R$ 90,R$ 140,R$ 5.670
https://www.quintoandar.com.br/imovel/894957573/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A441%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 12m², 1 quarto e sem vaga",Condomínios em São Paulo,12,1.0,0,1.0,,Até 3° andar,não,não,sim,R$ 3.100,R$ 150,R$ 0,R$ 40,R$ 80,R$ 3.370
https://www.quintoandar.com.br/imovel/895068790/alugar/kitnet-1-quarto-sumarezinho-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A355%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 40m², 1 quarto e 1 vaga",Condomínios em São Paulo,40,1.0,1,1.0,1.0,4° a 7° andar,não,sim,sim,R$ 4.000,R$ 1.059,R$ 158,R$ 51,R$ 103,R$ 5.371
https://www.quintoandar.com.br/imovel/895086113/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A760%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 44m², 1 quarto e sem vaga",Condomínios em São Paulo,44,1.0,0,1.0,,8° a 11° andar,não,sim,sim,R$ 5.500,R$ 1.000,R$ 250,R$ 70,R$ 142,R$ 6.962
https://www.quintoandar.com.br/imovel/893929847/alugar/kitnet-1-quarto-perdizes-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A543%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 24m², 1 quarto e sem vaga",Condomínios em São Paulo,24,1.0,0,1.0,,Até 3° andar,sim,não,sim,R$ 1.500,R$ 461,R$ 55,R$ 20,R$ 38,R$ 2.074
https://www.quintoandar.com.br/imovel/894561987/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A573%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 24m², 1 quarto e sem vaga",Condomínios em São Paulo,24,1.0,0,1.0,,Até 3° andar,não,sim,sim,R$ 3.100,R$ 300,R$ 8,R$ 40,R$ 80,R$ 3.528
https://www.quintoandar.com.br/imovel/894814364/alugar/kitnet-1-quarto-sumarezinho-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A290%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 32m², 1 quarto e sem vaga",Condomínios em São Paulo,32,1.0,0,1.0,,Até 3° andar,não,não,sim,R$ 2.950,R$ 450,R$ 111,R$ 38,R$ 76,R$ 3.625
https://www.quintoandar.com.br/imovel/894552171/alugar/apartamento-2-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A678%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 76m², 2 quartos e 1 vaga",Condomínios em São Paulo,76,2.0,1,2.0,1.0,28° a 31° andar,sim,não,sim,R$ 8.600,R$ 1.300,R$ 292,R$ 109,R$ 222,R$ 10.523
https://www.quintoandar.com.br/imovel/894712515/alugar/kitnet-1-quarto-alto-de-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A0%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e 1 vaga",Condomínios em São Paulo,25,1.0,1,1.0,1.0,8° a 11° andar,sim,sim,sim,R$ 3.500,R$ 565,R$ 114,R$ 45,R$ 90,R$ 4.314
https://www.quintoandar.com.br/imovel/893127039/alugar/casa-1-quarto-vila-ipojuca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A628%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 50m², 1 quarto e sem vaga",Rua Croata,50,1.0,0,1.0,,,não,não,não,R$ 1.580,R$ 0,R$ 180,R$ 27,R$ 40,R$ 1.827
