url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/895099797/alugar/apartamento-2-quartos-vila-leopoldina-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A732%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 31m², 2 quartos e sem vaga",Condomínios em São Paulo,31,2.0,0,1.0,,Até 3° andar,sim,não,sim,R$ 1.950,R$ 400,R$ 46,R$ 25,R$ 50,R$ 2.471
https://www.quintoandar.com.br/imovel/895086455/alugar/apartamento-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A644%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25,1.0,1,1.0,,20° a 23° andar,sim,sim,sim,R$ 2.940,R$ 617,R$ 0,R$ 38,R$ 76,R$ 3.671
https://www.quintoandar.com.br/imovel/894832947/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A519%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25,1.0,0,1.0,,4° a 7° andar,não,sim,sim,R$ 2.900,R$ 370,R$ 0,R$ 37,R$ 75,R$ 3.382
https://www.quintoandar.com.br/imovel/893700129/alugar/apartamento-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A552%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 37m², 1 quarto e 1 vaga",Condomínios em São Paulo,37,1.0,1,1.0,1.0,12° a 15° andar,sim,sim,sim,R$ 4.800,R$ 550,R$ 186,R$ 61,R$ 124,R$ 5.721
https://www.quintoandar.com.br/imovel/893432762/alugar/apartamento-2-quartos-vila-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A403%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 38m², 2 quartos e sem vaga",Rua Pangaré,38,2.0,0,1.0,,8° a 11° andar,sim,não,não,R$ 1.825,R$ 380,R$ 78,R$ 24,R$ 47,R$ 2.354
https://www.quintoandar.com.br/imovel/894712515/alugar/kitnet-1-quarto-alto-de-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A1007%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e 1 vaga",Condomínios em São Paulo,25,1.0,1,1.0,1.0,8° a 11° andar,sim,sim,sim,R$ 3.500,R$ 565,R$ 114,R$ 45,R$ 90,R$ 4.314
https://www.quintoandar.com.br/imovel/895056715/alugar/kitnet-1-quarto-jardim-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A964%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25,1.0,1,1.0,,Até 3° andar,não,não,não,R$ 1.700,R$ 150,R$ 0,R$ 22,R$ 44,R$ 1.916
https://www.quintoandar.com.br/imovel/892798151/alugar/apartamento-2-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A659%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 62m², 2 quartos e 1 vaga",Condomínios em São Paulo,62,2.0,0,1.0,1.0,Até 3° andar,não,sim,sim,R$ 4.600,R$ 1.860,R$ 291,R$ 59,R$ 119,R$ 6.929
https://www.quintoandar.com.br/imovel/895086002/alugar/apartamento-4-quartos-vila-indiana-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A302%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 96m², 4 quartos e 2 vagas",Rua Corinto,96,4.0,1,3.0,2.0,12° a 15° andar,não,não,não,R$ 4.800,R$ 1.570,R$ 159,R$ 61,R$ 124,R$ 6.714
https://www.quintoandar.com.br/imovel/893375885/alugar/apartamento-2-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A857%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 78m², 2 quartos e 1 vaga",Condomínios em São Paulo,78,2.0,0,1.0,1.0,4° a 7° andar,sim,não,sim,R$ 4.600,R$ 730,R$ 0,R$ 59,R$ 119,R$ 5.508
