url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,aluguel,condominio,iptu,seguro_incendio,taxa_servico,total,bairro,distance,weight,user_cluster,rank_distance,rank_weight
https://www.quintoandar.com.br/imovel/892818061/alugar/apartamento-2-quartos-vila-pompeia-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A964%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 53m², 2 quartos e 2 vagas",Condomínios em São Paulo,53.0,2.0,0,1.0,2.0,4° a 7° andar,sim,sim,não,R$ 3.200,R$ 800,R$ 234,R$ 41,R$ 82,R$ 4.357,alto-de-pinheiros,1.6478695104928531,0.03904936444467469,4,11,11
https://www.quintoandar.com.br/imovel/894204829/alugar/kitnet-1-quarto-sumare-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A150%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 33m², 1 quarto e sem vaga",Condomínios em São Paulo,33.0,1.0,1,1.0,,Até 3° andar,não,sim,sim,R$ 3.500,R$ 600,R$ 125,R$ 45,R$ 90,R$ 4.360,vila-madalena,1.6636129321286206,0.03867982499622904,4,13,13
https://www.quintoandar.com.br/imovel/894848068/alugar/apartamento-2-quartos-vila-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A263%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 38m², 2 quartos e sem vaga",Condomínios em São Paulo,38.0,2.0,0,1.0,,8° a 11° andar,sim,sim,não,R$ 3.500,R$ 700,R$ 42,R$ 45,R$ 90,R$ 4.377,butanta,1.6636129321286206,0.03867982499622904,4,12,12
https://www.quintoandar.com.br/imovel/894872805/alugar/apartamento-1-quarto-vila-butanta-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A250%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 27m², 1 quarto e sem vaga",Condomínios em São Paulo,27.0,1.0,1,1.0,,Até 3° andar,sim,sim,não,R$ 2.000,R$ 350,R$ 20,R$ 26,R$ 51,R$ 2.447,butanta,1.681307154682493,0.03827275516020811,4,14,14
https://www.quintoandar.com.br/imovel/894872805/alugar/apartamento-1-quarto-vila-butanta-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%2292e7e941-8b51-45ce-8abf-3acd78d4f21f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A236%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 27m², 1 quarto e sem vaga",Condomínios em São Paulo,27.0,1.0,1,1.0,,Até 3° andar,sim,sim,não,R$ 2.000,R$ 350,R$ 20,R$ 26,R$ 51,R$ 2.447,jaguare,1.681307154682493,0.03827275516020811,4,15,15
https://www.quintoandar.com.br/imovel/893536183/alugar/apartamento-2-quartos-rio-pequeno-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%2292e7e941-8b51-45ce-8abf-3acd78d4f21f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A267%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 65m², 2 quartos e 1 vaga",Condomínios em São Paulo,65.0,2.0,1,1.0,1.0,12° a 15° andar,sim,não,não,R$ 2.856,R$ 765,R$ 250,R$ 37,R$ 73,R$ 3.981,jaguare,1.682356729719582,0.03824887786506114,4,16,16
https://www.quintoandar.com.br/imovel/893536183/alugar/apartamento-2-quartos-rio-pequeno-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A953%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 65m², 2 quartos e 1 vaga",Condomínios em São Paulo,65.0,2.0,1,1.0,1.0,12° a 15° andar,sim,não,não,R$ 2.856,R$ 765,R$ 250,R$ 37,R$ 73,R$ 3.981,butanta,1.682356729719582,0.03824887786506114,4,17,17
https://www.quintoandar.com.br/imovel/894739123/alugar/apartamento-1-quarto-vila-butanta-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A401%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 28m², 1 quarto e sem vaga",Condomínios em São Paulo,28.0,1.0,1,1.0,,12° a 15° andar,sim,sim,não,R$ 2.150,R$ 319,R$ 2,R$ 28,R$ 55,R$ 2.554,butanta,1.6850545097864842,0.03818764123498533,4,18,18
https://www.quintoandar.com.br/imovel/894739123/alugar/apartamento-1-quarto-vila-butanta-sao-paulo?from_route=%22search_results%22&search_id=%2292e7e941-8b51-45ce-8abf-3acd78d4f21f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A302%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 28m², 1 quarto e sem vaga",Condomínios em São Paulo,28.0,1.0,1,1.0,,12° a 15° andar,sim,sim,não,R$ 2.150,R$ 319,R$ 2,R$ 28,R$ 55,R$ 2.554,jaguare,1.6850545097864842,0.03818764123498533,4,19,19
https://www.quintoandar.com.br/imovel/895060058/alugar/apartamento-2-quartos-vila-butanta-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A296%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 37m², 2 quartos e sem vaga",Condomínios em São Paulo,37.0,2.0,0,1.0,,4° a 7° andar,sim,sim,não,R$ 2.600,R$ 560,R$ 45,R$ 33,R$ 67,R$ 3.305,butanta,1.687511763644181,0.03813203467258585,4,20,20
https://www.quintoandar.com.br/imovel/895090172/alugar/apartamento-2-quartos-vila-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A262%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 38m², 2 quartos e sem vaga",Condomínios em São Paulo,38.0,2.0,0,1.0,,8° a 11° andar,sim,sim,não,R$ 3.175,R$ 500,R$ 42,R$ 41,R$ 82,R$ 3.840,butanta,1.6916060057589823,0.03803974262536851,4,21,21
https://www.quintoandar.com.br/imovel/895090172/alugar/apartamento-2-quartos-vila-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%2292e7e941-8b51-45ce-8abf-3acd78d4f21f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A233%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 38m², 2 quartos e sem vaga",Condomínios em São Paulo,38.0,2.0,0,1.0,,8° a 11° andar,sim,sim,não,R$ 3.175,R$ 500,R$ 42,R$ 41,R$ 82,R$ 3.840,jaguare,1.6916060057589823,0.03803974262536851,4,22,22
https://www.quintoandar.com.br/imovel/895075760/alugar/apartamento-2-quartos-vila-leopoldina-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A986%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 63m², 2 quartos e 2 vagas",Condomínios em São Paulo,63.0,2.0,1,2.0,2.0,Até 3° andar,sim,não,não,R$ 4.000,R$ 1.282,R$ 177,R$ 51,R$ 103,R$ 5.613,alto-de-pinheiros,1.700614404753043,0.03783824064101043,4,24,24
https://www.quintoandar.com.br/imovel/895075758/alugar/apartamento-2-quartos-vila-leopoldina-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A982%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 63m², 2 quartos e 2 vagas",Condomínios em São Paulo,63.0,2.0,1,1.0,2.0,Até 3° andar,sim,não,não,R$ 4.000,R$ 1.282,R$ 177,R$ 51,R$ 103,R$ 5.613,alto-de-pinheiros,1.700614404753043,0.03783824064101043,4,23,23
https://www.quintoandar.com.br/imovel/893772174/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%2221c6ce5e-7664-422f-90e6-4f302c8f3bc3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A358%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 20m², 1 quarto e sem vaga",Condomínios em São Paulo,20.0,1.0,1,1.0,,12° a 15° andar,sim,sim,sim,R$ 3.950,R$ 450,R$ 0,R$ 51,R$ 102,R$ 4.553,pinheiros,1.7212898505791778,0.03738374281792662,4,25,25
