pet,mobiliado,metro_proximo,area,quartos,suite,banheiros,aluguel,condominio,iptu,seguro_incendio,taxa_servico,total,cost_per_m2,cluster
0,0,0,14.0,1.0,1,1.0,1200.0,0.0,0.0,16.0,31.0,1247.0,85.71,4
1,0,0,30.0,1.0,0,1.0,1200.0,0.0,0.0,20.0,31.0,1251.0,40.0,4
0,0,0,45.0,1.0,1,1.0,1200.0,0.0,40.0,20.0,31.0,1291.0,26.67,4
0,0,0,45.0,2.0,1,1.0,1200.0,0.0,50.0,20.0,31.0,1301.0,26.67,4
0,0,0,25.0,1.0,1,1.0,1200.0,60.0,27.0,20.0,31.0,1338.0,48.0,4
0,0,0,25.0,1.0,1,1.0,1200.0,60.0,27.0,20.0,31.0,1338.0,48.0,4
0,0,1,25.0,1.0,0,1.0,1210.0,292.0,30.0,16.0,31.0,1579.0,48.4,4
0,0,0,25.0,1.0,1,1.0,1250.0,0.0,25.0,16.0,32.0,1323.0,50.0,4
1,0,0,30.0,1.0,0,1.0,1250.0,0.0,84.0,21.0,32.0,1387.0,41.67,4
1,1,0,18.0,1.0,1,1.0,1260.0,0.0,0.0,16.0,32.0,1308.0,70.0,4
1,1,0,36.0,1.0,0,1.0,1260.0,0.0,0.0,16.0,32.0,1308.0,35.0,4
0,0,0,20.0,1.0,1,1.0,1260.0,0.0,35.0,16.0,32.0,1343.0,63.0,4
0,1,0,19.0,1.0,0,1.0,1270.0,0.0,10.0,17.0,32.0,1329.0,66.84,4
0,1,1,25.0,1.0,0,1.0,1270.0,0.0,0.0,17.0,32.0,1634.0,50.8,4
1,0,0,50.0,1.0,0,1.0,1275.0,0.0,161.0,22.0,33.0,1491.0,25.5,4
0,1,0,15.0,1.0,0,1.0,1300.0,0.0,0.0,17.0,33.0,1350.0,86.67,4
0,1,0,15.0,1.0,0,1.0,1300.0,0.0,0.0,17.0,33.0,1350.0,86.67,4
0,0,0,50.0,2.0,0,1.0,1300.0,0.0,0.0,22.0,33.0,1355.0,26.0,4
0,0,0,24.0,1.0,1,1.0,1300.0,60.0,27.0,22.0,33.0,1442.0,54.17,4
0,0,0,24.0,1.0,1,1.0,1300.0,60.0,27.0,22.0,33.0,1442.0,54.17,4
0,0,0,25.0,1.0,1,1.0,1300.0,60.0,90.0,22.0,33.0,1505.0,52.0,4
1,0,1,15.0,1.0,0,1.0,1312.0,53.0,0.0,22.0,33.0,1465.0,87.47,4
0,1,0,15.0,1.0,0,1.0,1320.0,0.0,0.0,17.0,34.0,1371.0,88.0,4
0,0,0,32.0,1.0,0,1.0,1320.0,0.0,100.0,17.0,34.0,1471.0,41.25,4
0,1,1,17.0,1.0,0,1.0,1328.0,1.0,0.0,17.0,34.0,1380.0,78.12,4
0,0,0,40.0,1.0,0,1.0,1340.0,0.0,80.0,23.0,34.0,1477.0,33.5,4
0,0,0,14.0,1.0,0,1.0,1350.0,0.0,0.0,18.0,34.0,1402.0,96.43,4
0,1,1,20.0,1.0,1,1.0,1350.0,1.0,0.0,18.0,34.0,1403.0,67.5,4
0,1,0,15.0,1.0,0,1.0,1350.0,0.0,29.0,18.0,34.0,1431.0,90.0,4
0,0,0,72.0,1.0,0,1.0,1350.0,0.0,130.0,23.0,34.0,1537.0,18.75,4
0,1,0,15.0,1.0,1,1.0,1370.0,0.0,0.0,18.0,35.0,1423.0,91.33,4
0,0,0,54.0,2.0,0,1.0,1377.0,120.0,115.0,18.0,35.0,1665.0,25.5,4
0,0,0,50.0,1.0,0,1.0,1390.0,0.0,96.0,23.0,36.0,1545.0,27.8,4
1,0,1,31.0,1.0,0,1.0,1394.0,450.0,125.0,18.0,36.0,2023.0,44.97,4
1,0,1,31.0,1.0,0,1.0,1394.0,450.0,125.0,18.0,36.0,2023.0,44.97,4
0,1,0,22.0,1.0,0,1.0,1400.0,0.0,0.0,18.0,36.0,1454.0,63.64,4
1,0,1,16.0,1.0,1,1.0,1400.0,1.0,0.0,18.0,36.0,1455.0,87.5,4
1,0,0,35.0,1.0,1,1.0,1400.0,0.0,0.0,24.0,36.0,1460.0,40.0,4
1,0,0,45.0,1.0,0,1.0,1400.0,506.0,71.0,18.0,36.0,2031.0,31.11,4
0,0,0,29.0,2.0,0,1.0,1412.0,0.0,54.0,24.0,36.0,1526.0,48.69,4
1,0,0,45.0,1.0,0,1.0,1424.0,510.0,70.0,19.0,36.0,2059.0,31.64,4
0,0,1,25.0,1.0,0,1.0,1430.0,0.0,0.0,24.0,37.0,1491.0,57.2,4
0,0,1,25.0,1.0,0,1.0,1430.0,0.0,0.0,24.0,37.0,1491.0,57.2,4
1,0,0,58.0,1.0,0,1.0,1445.0,0.0,388.0,24.0,37.0,1894.0,24.91,4
0,1,0,22.0,1.0,1,1.0,1450.0,0.0,45.0,19.0,37.0,1551.0,65.91,4
